"school_id"|"name"|"address"|"country"|"city"|"county"|"postcode"|"tel"|"fax"|"website"|"email"|"schooltype"|"si"|"sp"|"ra"|"pupilno"|"boarderno"|"boarderage"|"lastupdate"|"staffid"|"remarks"|"lat"|"lng"|"childvisaage"|"case"|"case"|"case"|"loginname"|"loginpassword"|"keyword"
30124|"St Albans School"|"Abbey Gateway"|"UK"|"St Albans"|"Hertfordshire"|"AL3 4HB"|"+44 (0)1727 855521"|""|"https://www.st-albans.herts.sch.uk/"|"hm@st-albans-school.org.uk"|"Boys (6G)"|"Independent School"|""|""|890|0|"Day (B:11-18;G:16-18)"|"20211022161100"|"AA00078"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
675|"The University of Law"|"Braboeuf Manor, Portsmouth Road, St. Catherines,"|"UK"|"Guildford"|"Surrey"|"GU3 1HA"|"44 14 8321 6000"|""|"www.college-of-law.co.uk"|"admissions@lawcol.co.uk"|"Co-Ed"|""|""|""|0|0|""|"20140313205702"|""|"old name : The College of Law, updated name on 20140313"|53.933453|-1.089544|17|"Y"|"Y"|"Y"|""|"***********************"|""
682|"College Guardians"|"College Road"|"UK"|"Malvern"|"Worcestershire"|"WR14 3DF"|"44 16 8458 1600"|"44 16 8458 1684"|"www.collegeguardians.co.uk"|"info@collegeguardians.co.uk"|"Co-Ed"|""|""|""|0|0|""|"20131224110857"|"AA00025"|""|52.104165|-2.326113|17|"Y"|"Y"|"Y"|""|"***********************"|""
672|"Gateways School"|"Harewood"|"UK"|"Leeds"|"West Yorkshire"|"LS17 9LE"|"44 11 3288 6345"|"44 11 3288 6148"|"www.gatewaysschool.co.uk"|"gateways@gatewayschool.co.uk"|"Co-Ed"|"Independent School"|"All"|"Inter denominational"|331|0|"Day (B:2-12,G:2-18)"|"20200222205426"|"AA00078"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30052|"Warwick Preparatory School"|"Bridge Field, Banbury Road,"|"United Kingdom"|"Warwick"|"Warwickshire"|"CV34 6PL"|"(01926) 491 545"|""|"www.warwickprep.com/"|"info@warwickprep.com"|"Co-Ed"|"Independent School"|"Prep School"|""|486|0|"Day (B:3-7,G:3-11)"|"20200222173122"|"AA00078"|"An independent day school and nursery for boys aged 3-7 and girls 3-11"|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30067|"Eltham College"|"Grove Park Road"|"United Kingdom"|"Mottingham"|"London"|"SE9 4QF"|"44 020 8857 1455"|""|"www.elthamcollege.london"|"admissions@eltham-college.org.uk"|"Co-Ed"|""|""|""|954|0|"Day (B:7-18,G:16-18)"|"20200227142200"|"AA00078"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30083|"Trinity School"|"Shirley Park"|"United Kingdom"|"Croydon"|"Surrey"|"CR9 7AT"|"+44 (0)20 8656 9541"|""|"https://www.trinity-school.org/"|"hmsec@trinity.croydon.sch.uk"|"Boys (6G Day only)"|""|""|""|1032|0|"Day (B-10-18;G16-18)"|"20201125151325"|"AA00078"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30081|"King's College School"|"Southside"|"United Kingdom"|"Wimbledon Common"|"London"|"SW19 4TT"|"+44 (0)20 8255 5300"|""|"https://www.kcs.org.uk/"|"reception@kcs.org.uk"|"Boys (6G Day only)"|""|""|""|1002|0|"Day (B-11-18;G-16-18)"|"20210806122506"|"AA00078"|"20210806: School will not work with agent. If any parents ask for this school, they have to work directly with the school."|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30091|"Queen’s Gate School"|"131-133 Queen’s Gate, South Kensington"|"UK"|"London"|"Greater London"|"SW7 5LE"|"44 (0)20 7589 3587"|""|"www.queensgate.org.uk"|"registrar@queensgate.org.uk"|"Girls"|"Independent School 1"|"S"|"Non-denominational"|479|0|"Day only (4-18)"|"20241206174427"|"AA00011"|"Day: 4 to 18 (533) Sixth form: (95)"|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
286|"Leweston School"|""|"UK"|"Sherborne"|"Dorset"|"DT9 6EN"|"44 19 6321 0691"|"44 19 6321 0786"|"www.leweston.co.uk"|"admin@leweston.dorset.sch.uk"|"Co-Ed"|"Independent School 1"|"Senior"|"Roman Catholic"|270|83|"G:7-18,B:11-18 (0-18)"|"20200622100555"|"AA00006"|"20171111: Leweston School will be taking in 6th form boys in 2018."|0|0|17|"Y"|"Y"|"Y"|""|"***********************"|"friendly, school_near_town, Caring_ex"
30199|"King's Colleges"|"The Old Market, Upper Market Street"|"UK"|"Hove"|"Hove"|"BN3 1AS"|"+44 (0)1273 806 010"|""|"https://www.kingseducation.com/"|"enquiries@kingseducation.com"|"Co-Ed"|""|""|""|0|0|""|"20230630161235"|"AA00078"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30066|"Bristol Grammar School"|"University Road"|"United Kingdom"|"Bristol"|"Bristol"|"BS8 1SR"|"44 0117 973 6006"|""|"www.bristolgrammarschool.co.uk"|"website@bgs.bristol.sch.uk"|"Co-Ed"|""|""|""|1355|0|"Day (4-18)"|"20200227120921"|"AA00078"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30060|"Oxford High School GDST"|"Belbroughton Road"|"United Kingdom"|"Oxford"|"Oxfordshire"|"OX2 6XA"|"44 01865 559888"|""|"www.oxfordhigh.gdst.net"|"oxfordhigh@oxf.gdst.net"|"Girls"|""|""|""|857|0|"Day (4-18)"|"20200228162544"|"AA00078"|"Day school"|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30110|"Guildford High School"|"London Road"|"UK"|"Guildford"|"Guildford"|"GU1 1SJ"|"+44 (0)1483 561440"|""|"https://www.guildfordhigh.co.uk/"|""|"Girls"|""|""|""|985|0|"Day (4-18)"|"20210720175805"|"AA00078"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
638|"White House Guardianships"|"711- 715 Wimborne Road"|"UK"|"Bournemouth"|"Dorset"|"BH9 2AU"|"44 12 0252 1100"|"44 12 0277 6509"|"www.whg.eu.com"|"info@whg.eu.com"|"Co-Ed"|""|""|""|0|0|""|"20160428115457"|"AA00044"|"[28Apr16] White House Guardianships has launched an agent and parent portal, My WHG. This can be accessed via our website to view all your students’ expenses statements, travel information, reports & further details. 
[4 Jul 2013] Please take note the amount P need to pay if they wish to terminate contract with WHG without 1 term notice is GBP230.

old address: 34 Talbot Road, Bournemouth, Dorset, BH9 2JF, UK"|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30086|"Tormead School"|"Cranley Road"|"UK"|"Guildford"|"Surrey"|"GU1 2JD"|"+44 (0) 01483 575101"|""|"https://www.tormeadschool.org.uk/"|"office@tormeadschool.org.uk"|"Girls"|""|""|""|736|0|"Day (4-18)"|"20201202153643"|"AA00078"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
452|"Bede's Summer School"|"Upper Dicker"|"UK"|"Hailsham"|"East Sussex"|"BN27 3QH"|"44 13 2344 3818"|"44 13 2384 8188"|"www.bedessummerschool.org"|"summer.school@bedes.org"|"Co-Ed"|"Summer School"|""|""|0|0|""|"20140325105326"|"AA00044"|""|50.866575|0.202519|17|"Y"|"Y"|"N"|""|"***********************"|""
30112|"Nottingham High School"|"Waverley Mount"|"UK"|"Nottingham"|"Nottinghamshire"|"NG7 4ED"|"+44 (0)115 978 6056"|""|"https://nottinghamhigh.co.uk/"|"info@nottinghamhigh.co.uk"|"Co-Ed"|"Independent School"|""|""|1095|0|"Day (4-18)"|"20210731144641"|"AA00078"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30070|"Scottish Overseas Guardianship Association"|"52 Glasgow Road"|"United Kingdom"|"Perth, Perthshire"|"Scotland"|"PH2 0PB"|"44 01738 562036"|""|"scottishoverseasguardianship.co.uk"|"info@scottishoverseasguardianship.co.uk"|"Co-Ed"|""|""|""|0|0|""|"20200421105035"|"AA00078"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30088|"St. Albans High School for Girls"|"Townsend Avenue"|"UK"|"St Albans"|"Hertfordshire"|"AL1 3SJ"|"44 0 1582 839 270"|""|"www.stahs.org.uk"|"info@stahs.org.uk"|"Girls"|""|""|""|1119|0|"Day (4-18)"|"20201209125718"|"AA00078"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
143|"Devon School of English"|"The Old Vicarage, 1 Lower Polsham Road"|"UK"|"Paignton"|"Devon"|"TQ3 2AF"|""|""|"www.devonschool.co.uk"|""|"Co-Ed"|""|""|""|0|0|""|"20151106170633"|"AA00027"|""|0|0|17|"N"|"Y"|"Y"|""|"***********************"|""
30076|"Wimbledon High School"|"Mansel Road,"|"United Kingdom"|"Wimbledon"|"London Area"|"SW19 4AB"|"+44 (0)20 8971 0900"|""|""|""|"Girls"|""|""|""|1034|0|"Day (4-18)"|"20201021160820"|"AA00078"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30089|"James Allen’s Girls’ School"|"144 East Dulwich Grove"|"UK"|"Dulwich"|"London"|"SE22 8TE"|"44 020 8693 1181"|""|"https://www.jags.org.uk/"|"enquiries@jags.org.uk"|"Girls"|"Independent School"|""|""|1124|0|"Day (4-18)"|"20220719144937"|"AA00078"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30146|"Francis Holland School, Sloane Square"|"39 Graham Terrace"|"UK"|"London"|"London"|"SW1W 8JF"|"+44 (0)20 7730 2971"|""|"fhs-sw1.org.uk"|"office@fhs-sw1.org.uk"|"Girls"|"Independent School"|""|""|656|0|"Day (4-18)"|"20220209105949"|"AA00078"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30200|"Academic Camps in the UK, Germany and Canada"|"Academic Camp, 7 Soundwell Road, Staple Hill"|"UK"|"Bristol"|"Bristol"|"BS16 4QG"|"44 20 3959 9370"|""|"https://www.academiccamp.org/"|"info@academiccamp.org"|"Co-Ed"|"Summer"|""|""|0|0|""|"20230707101730"|"AA00078"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30012|"Adcote International"|"11th Floor, Centre City, 5-7 Hill Street"|"UK"|"Birmingham"|"Birmingham"|"B5 4UA"|"44 19 3932 8228"|""|"www.adcoteinternational.com"|"int@adcoteinternational.com"|"Girls"|""|""|""|0|0|""|"20181205162644"|"AA00078"|"20181205: The above website will be redirected to http://www.adcoteschool.org.uk/
[21Nov14] Updated address which before: 2nd Floor, 3 Brindley Place, Birmingham, B1 2JB"|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30078|"The King's School, Chester"|"Wrexham Road"|"UK"|"Chester"|"Cheshire"|"CH4 7QL"|"+44 (0)1244 689500"|""|"https://www.kingschester.co.uk/"|"admissions@kingschester.co.uk"|"Co-Ed"|""|""|""|0|0|"Day (4-18)"|"20201113174641"|"AA00078"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30108|"North London Collegiate School"|"Canons, Canons Drive"|"UK"|"Edgware"|"Middlesex"|"HA8 7RJ"|"+44 (0)20 8952 0912"|""|"https://www.nlcs.org.uk/"|"office@nlcs.org.uk"|"Girls"|""|""|""|1097|0|"Day (4-18)"|"20210720173800"|"AA00078"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30080|"Bromley High School GDST"|"Blackbrook Lane"|"United Kingdom"|"Bromley"|"Kent"|"BR1 2TW"|"+44 (0)20 8781 7000"|""|"https://www.bromleyhigh.gdst.net/"|"bhs@bro.gdst.net"|"Girls"|""|""|""|867|0|"Day (4-18)"|"20201124114038"|"AA00078"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
116|"Churchill House School of English Language"|"Spencer Square"|"UK"|"Ramsgate"|"Kent"|"CT11 9EQ"|"44 18 4359 3630"|"44 18 4358 4827"|"www.churchillhouse.com"|"welcome@churchillhouse.co.uk"|"Co-Ed"|""|""|""|0|0|""|"20140509134127"|"AA00003"|""|0|0|17|"N"|"Y"|"Y"|""|"***********************"|""
30151|"Putney High School"|"35 Putney Hill"|"UK"|"London"|"London"|"SW15 6BH"|"44 020 8788 6523"|""|"https://www.putneyhigh.gdst.net/"|"putneyhigh@put.gdst.net"|"Girls"|"Independent School"|""|""|1073|0|"Day (4-18)"|"20221108172154"|"AA00078"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30038|"Elac Study Vacatioins"|"22 Milsom Street"|"UK"|"Bath"|"-"|"BA1 1DE"|"44 12 2544 3261"|"44 12 2542 0585"|"www.elac.co.uk"|"info@elac.co.uk"|"Co-Ed"|"Summer School"|""|""|0|0|""|"20160503170804"|"AA00044"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
184|"Forest School"|""|"UK"|"Snaresbrook"|"London & Greater London"|"E17 3PY"|"44 20 8520 1744(boy's)/ 44 20 8521 7477(girl's"|"44 20 8520 3656(boy's)/ 44 20 8520 7381(girl's"|"www.forest.org.uk/"|"boys.school@forest.org.uk/ girls.school@forest.org.uk/ prep@forest.org.uk"|"Co-Ed"|"Independent School"|""|"Church of England"|1432|0|"Day (4-18)"|"20200222204821"|"AA00078"|""|0|0|17|"Y"|"N"|"Y"|""|"***********************"|""
30136|"Highgate School"|"North Road"|"UK"|"Highgate"|"Highgate"|"N6 4AY"|"+44 (0)20 8340 1524"|""|"http://www.highgateschool.org.uk/"|"office@highgateschool.org.uk"|"Co-Ed"|"Independent School"|""|""|1881|0|"Day (4-18)"|"20211203104701"|"AA00078"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30158|"Sydenham High School GDST"|"19 Westwood Hill"|"UK"|"London"|"London"|"SE26 6BL"|"44 020 8557 7000"|""|"http://www.sydenhamhighschool.gdst.net/"|"senior@syd.gdst.net"|"Girls"|"Independent School"|""|""|726|0|"Day (4-19)"|"20230104145300"|"AA00078"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
126|"Clifton College - Academic Prep Course"|""|"UK"|"Bristol"|"Bristol"|""|""|""|"experiolife.com/experio-summer"|""|"Co-Ed"|""|""|""|0|0|""|"20180615182026"|"AA00078"|""|0|0|17|"Y"|"Y"|"Y"|""|"***********************"|""
30119|"Hampton Court House"|"Hampton Court Road"|"UK"|"East Molesey"|"Surrey"|"KT8 9BS"|"44 020 8614 0857"|""|"https://www.hamptoncourthouse.co.uk/"|"reception@hchnet.co.uk"|"Co-Ed"|"Independent School"|""|""|247|0|"Day (5-18)"|"20210922105010"|"AA00078"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30144|"Downsend School"|"1 Leatherhead Road"|"UK"|"Leatherhead"|"Surrey"|"KT22 8TJ"|"+44 (0)1372 372197"|""|"http://www.downsend.co.uk/"|"office@downsend.co.uk"|"Co-Ed"|"Independent School"|""|""|513|0|"Day (6-16)"|"20220112151135"|"AA00078"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
660|"Concord College - Summer School"|"Acton Burnell Hall, Acton Burnell"|"UK"|"Shrewsbury"|"Shropshire"|"SY5 7PF"|"44 16 9473 1633"|"44 16 9473 1219"|"www.concordsummerschool.com"|"summercourse@concordcollegeuk.com"|"Co-Ed"|"Summer School"|"All"|""|0|0|""|"20131224111113"|"AA00025"|""|52.614308|-2.687438|17|"Y"|"Y"|"N"|""|"***********************"|""
670|"Discovery Summer"|"33 Kensington High Street"|"UK"|"London"|"London & Greater London"|"W8 5EA"|"44 20 7937 1199"|"44 20 7937 3344"|"www.discoverysummer.co.uk"|"info@discoverysummer.co.uk"|"Co-Ed"|"Summer School"|""|""|0|0|""|"20131029163520"|"AA00027"|""|51.502218|-0.188828|17|"Y"|"Y"|"N"|""|"***********************"|""
30133|"King Edward's School, Bath"|"North Road"|"UK"|"Bath"|"Somerset"|"BA2 6HU"|"+44 (0)1225 464313"|""|"https://www.kesbath.com/"|"admissions@kesbath.com"|"Co-Ed"|"Independent School"|""|""|1086|0|"Day (3-18)"|"20221009224833"|"AA00007"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30138|"Bridgewater School"|"Drywood Hall, Worsley Road, Worsley"|"UK"|"Manchester"|"Greater Manchester"|"M28 2WQ"|"+44 (0)161 794 1463"|""|"https://www.bridgewater-school.co.uk/"|"admin@bwslive.co.uk"|"Co-Ed"|"Independent School"|""|""|447|0|"Day (3-18)"|"20220111111802"|"AA00078"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
679|"Heathfield Summer School"|"London Road"|"UK"|"Ascot"|"Berkshire"|"SL5 8BQ"|"44 13 4488 5197"|"44 13 4488 2235"|"www.heathfieldsummerschool.co.uk"|"summerschool@heathfieldschool.net"|"Girls"|"Summer School"|"Senior"|""|0|0|""|"20131227121113"|"AA00025"|""|51.413608|-0.710334|17|"N"|"Y"|"N"|""|"***********************"|""
99|"Camp Beaumont"|"Kingswood House, Alkmaar Way,"|"UK"|"Norwich"|"Norfolk"|"NR6 6BF"|""|""|"http://www.campbeaumont.com/"|""|"Co-Ed"|""|""|""|0|0|""|"20200227122551"|"AA00078"|"Day camp provider"|0|0|17|"Y"|"Y"|"Y"|""|"***********************"|""
659|"Gabbitas Language & Business Summer School"|"Norfolk House"|"UK"|"30 Charles II Street"|"London & Greater London"|"SW1Y 4AE"|"44 20 7734 0161"|"44 20 7437 1764"|"www.gabbitas.co.uk"|""|"Co-Ed"|""|""|""|0|0|""|"20160205104647"|"AA00027"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
346|"Our World English Schools"|"South Tower, 26 Elmfield Road"|"UK"|"Bromley"|"London & Greater London"|"BR1 1LR"|"44 20 7868 1737"|"44 20 7868 1727"|"www.ourworldenglish.com"|"info@ourworldenglish.com"|"Co-Ed"|"Summer School"|""|""|0|0|""|"20131227163006"|"AA00025"|"all documents please send directly to BINNS' office (address: Our World English School, South Tower, 26 Elmfield Road, Bromley, BR1 1LR, United Kingdom)
 
Old Address: 68 Lombard Street, London, EC3V 9LJ, United Kingdom"|51.400744|0.017953|17|"Y"|"Y"|"Y"|""|"***********************"|""
30130|"St Benedict's School"|"54 Eaton Rise"|"UK"|"Ealing"|"London"|"W5 2ES"|"44 0208 8622010"|""|"http://www.stbenedicts.org.uk"|"juniorschool@stbenedicts.org.uk"|"Co-Ed"|"Independent School"|""|""|1070|0|"Day (3-18)"|"20211118165751"|"AA00078"|"juniorschool@stbenedicts.org.uk is the general contact point for Junior School"|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
348|"Oxford Royale Academy"|"St Catherine's College, Manor Road"|"UK"|"Oxford"|"Oxfordshire"|"OX1 3UJ"|"44 84 5130 6021"|"44 84 5280 0122"|"www.oxford-royale.co.uk"|"admin@oxford-royale.co.uk"|"Co-Ed"|"Summer School"|""|""|0|0|""|"20131227163131"|"AA00025"|""|51.757725|-1.246163|17|"Y"|"Y"|"Y"|""|"***********************"|""
30096|"The Perse School"|"Hills Road"|"UK"|"Cambridge"|"Cambridge"|"CB2 8QF"|"44 (0) 1223 403800"|""|"www.perse.co.uk"|"schooloffice@perse.co.uk"|"Co-Ed"|""|""|""|1647|0|"Day (3-18)"|"20210428131630"|"AA00078"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
649|"Sedbergh International Summer School"|"."|"UK"|"Sedbergh"|"Cumbria"|"LA10 5HG"|"44 15 3962 2613"|"44 15 3962 2228"|"www.sedberghschool.org/iss-course-overview.html"|"enquiries@sedberghsummerschool.org"|"Co-Ed"|"Summer School"|""|""|0|0|""|"20131228102355"|"AA00025"|"[30 Jan 2013] Joint venture with LAL Languages Schools."|54.32184|-2.531363|17|"Y"|"Y"|"Y"|""|"***********************"|""
661|"Summer Boarding Courses Ltd. (Headington Oxford Summer School)"|"Suite 2, 10 Towngate"|"UK"|"Guiseley, Leeds"|"Lancashire"|"LS20 9JA"|"44 19 4387 8518"|"44 19 4387 8195"|"http://www.headingtonoxfordsummerschool.co.uk"|"info@summerboardingcourses.co.uk"|"Co-Ed"|"Summer School"|""|""|0|0|""|"20131228110548"|"AA00025"|"max 10% Chi"|53.852654|-1.711346|17|"Y"|"Y"|"Y"|""|"***********************"|""
